title,authors,abstract,published,category,pdf_url,saved_title
Charting the Future: Using Chart Question-Answering for Scalable Evaluation of LLM-Driven Data Visualizations,"James Ford, Xingmeng Zhao, Dan Schumacher, Anthony Rios","We propose a novel framework that leverages Visual Question Answering (VQA)
models to automate the evaluation of LLM-generated data visualizations.
Traditional evaluation methods often rely on human judgment, which is costly
and unscalable, or focus solely on data accuracy, neglecting the effectiveness
of visual communication. By employing VQA models, we assess data representation
quality and the general communicative clarity of charts. Experiments were
conducted using two leading VQA benchmark datasets, ChartQA and PlotQA, with
visualizations generated by OpenAI's GPT-3.5 Turbo and Meta's Llama 3.1
70B-Instruct models. Our results indicate that LLM-generated charts do not
match the accuracy of the original non-LLM-generated charts based on VQA
performance measures. Moreover, while our results demonstrate that few-shot
prompting significantly boosts the accuracy of chart generation, considerable
progress remains to be made before LLMs can fully match the precision of
human-generated graphs. This underscores the importance of our work, which
expedites the research process by enabling rapid iteration without the need for
human annotation, thus accelerating advancements in this field.",2024-09-27 14:02:48+00:00,cs.CV,http://arxiv.org/pdf/2409.18764v1,Charting_the_Future_Using_Chart_QuestionAnswering_for_Scalable_Evaluation_of_LLMDriven_Data_Visualizations
OpenObject-NAV: Open-Vocabulary Object-Oriented Navigation Based on Dynamic Carrier-Relationship Scene Graph,"Yujie Tang, Meiling Wang, Yinan Deng, Zibo Zheng, Jiagui Zhong, Yufeng Yue","In everyday life, frequently used objects like cups often have unfixed
positions and multiple instances within the same category, and their carriers
frequently change as well. As a result, it becomes challenging for a robot to
efficiently navigate to a specific instance. To tackle this challenge, the
robot must capture and update scene changes and plans continuously. However,
current object navigation approaches primarily focus on semantic-level and lack
the ability to dynamically update scene representation. This paper captures the
relationships between frequently used objects and their static carriers. It
constructs an open-vocabulary Carrier-Relationship Scene Graph (CRSG) and
updates the carrying status during robot navigation to reflect the dynamic
changes of the scene. Based on the CRSG, we further propose an instance
navigation strategy that models the navigation process as a Markov Decision
Process. At each step, decisions are informed by Large Language Model's
commonsense knowledge and visual-language feature similarity. We designed a
series of long-sequence navigation tasks for frequently used everyday items in
the Habitat simulator. The results demonstrate that by updating the CRSG, the
robot can efficiently navigate to moved targets. Additionally, we deployed our
algorithm on a real robot and validated its practical effectiveness.",2024-09-27 13:33:52+00:00,cs.RO,http://arxiv.org/pdf/2409.18743v1,OpenObjectNAV_OpenVocabulary_ObjectOriented_Navigation_Based_on_Dynamic_CarrierRelationship_Scene_Graph
Read Over the Lines: Attacking LLMs and Toxicity Detection Systems with ASCII Art to Mask Profanity,"Sergey Berezin, Reza Farahbakhsh, Noel Crespi","We introduce a novel family of adversarial attacks that exploit the inability
of language models to interpret ASCII art. To evaluate these attacks, we
propose the ToxASCII benchmark and develop two custom ASCII art fonts: one
leveraging special tokens and another using text-filled letter shapes. Our
attacks achieve a perfect 1.0 Attack Success Rate across ten models, including
OpenAI's o1-preview and LLaMA 3.1.
  Warning: this paper contains examples of toxic language used for research
purposes.",2024-09-27 12:54:13+00:00,cs.CL,http://arxiv.org/pdf/2409.18708v1,Read_Over_the_Lines_Attacking_LLMs_and_Toxicity_Detection_Systems_with_ASCII_Art_to_Mask_Profanity
Beyond Single-Audio: Advancing Multi-Audio Processing in Audio Large Language Models,"Yiming Chen, Xianghu Yue, Xiaoxue Gao, Chen Zhang, Luis Fernando D'Haro, Robby T. Tan, Haizhou Li","Various audio-LLMs (ALLMs) have been explored recently for tackling different
audio tasks simultaneously using a single, unified model. While existing
evaluations of ALLMs primarily focus on single-audio tasks, real-world
applications often involve processing multiple audio streams simultaneously. To
bridge this gap, we propose the first multi-audio evaluation (MAE) benchmark
that consists of 20 datasets from 11 multi-audio tasks encompassing both speech
and sound scenarios. Comprehensive experiments on MAE demonstrate that the
existing ALLMs, while being powerful in comprehending primary audio elements in
individual audio inputs, struggling to handle multi-audio scenarios. To this
end, we propose a novel multi-audio-LLM (MALLM) to capture audio context among
multiple similar audios using discriminative learning on our proposed synthetic
data. The results demonstrate that the proposed MALLM outperforms all baselines
and achieves high data efficiency using synthetic data without requiring human
annotations. The proposed MALLM opens the door for ALLMs towards multi-audio
processing era and brings us closer to replicating human auditory capabilities
in machines.",2024-09-27 12:06:53+00:00,cs.SD,http://arxiv.org/pdf/2409.18680v1,Beyond_SingleAudio_Advancing_MultiAudio_Processing_in_Audio_Large_Language_Models
"""Why"" Has the Least Side Effect on Model Editing","Tsung-Hsuan Pan, Chung-Chi Chen, Hen-Hsen Huang, Hsin-Hsi Chen","Training large language models (LLMs) from scratch is an expensive endeavor,
particularly as world knowledge continually evolves. To maintain relevance and
accuracy of LLMs, model editing has emerged as a pivotal research area. While
these methods hold promise, they can also produce unintended side effects.
Their underlying factors and causes remain largely unexplored. This paper
delves into a critical factor-question type-by categorizing model editing
questions. Our findings reveal that the extent of performance degradation
varies significantly across different question types, providing new insights
for experimental design in knowledge editing. Furthermore, we investigate
whether insights from smaller models can be extrapolated to larger models. Our
results indicate discrepancies in findings between models of different sizes,
suggesting that insights from smaller models may not necessarily apply to
larger models. Additionally, we examine the impact of batch size on side
effects, discovering that increasing the batch size can mitigate performance
drops.",2024-09-27 12:05:12+00:00,cs.CL,http://arxiv.org/pdf/2409.18679v1,Why_Has_the_Least_Side_Effect_on_Model_Editing
Rehearsing Answers to Probable Questions with Perspective-Taking,"Yung-Yu Shih, Ziwei Xu, Hiroya Takamura, Yun-Nung Chen, Chung-Chi Chen","Question answering (QA) has been a long-standing focus in the NLP field,
predominantly addressing reading comprehension and common sense QA. However,
scenarios involving the preparation of answers to probable questions during
professional oral presentations remain underexplored. In this paper, we pioneer
the examination of this crucial yet overlooked topic by utilizing real-world QA
conversation transcripts between company managers and professional analysts. We
explore the proposed task using three causal knowledge graphs (KGs) and three
large language models (LLMs). This work provides foundational insights into the
application of LLMs in professional QA scenarios, highlighting the importance
of causal KGs and perspective-taking in generating effective responses.",2024-09-27 12:05:05+00:00,cs.CL,http://arxiv.org/pdf/2409.18678v1,Rehearsing_Answers_to_Probable_Questions_with_PerspectiveTaking
Not the Silver Bullet: LLM-enhanced Programming Error Messages are Ineffective in Practice,"Eddie Antonio Santos, Brett A. Becker","The sudden emergence of large language models (LLMs) such as ChatGPT has had
a disruptive impact throughout the computing education community. LLMs have
been shown to excel at producing correct code to CS1 and CS2 problems, and can
even act as friendly assistants to students learning how to code. Recent work
shows that LLMs demonstrate unequivocally superior results in being able to
explain and resolve compiler error messages -- for decades, one of the most
frustrating parts of learning how to code. However, LLM-generated error message
explanations have only been assessed by expert programmers in artificial
conditions. This work sought to understand how novice programmers resolve
programming error messages (PEMs) in a more realistic scenario. We ran a
within-subjects study with $n$ = 106 participants in which students were tasked
to fix six buggy C programs. For each program, participants were randomly
assigned to fix the problem using either a stock compiler error message, an
expert-handwritten error message, or an error message explanation generated by
GPT-4. Despite promising evidence on synthetic benchmarks, we found that GPT-4
generated error messages outperformed conventional compiler error messages in
only 1 of the 6 tasks, measured by students' time-to-fix each problem.
Handwritten explanations still outperform LLM and conventional error messages,
both on objective and subjective measures.",2024-09-27 11:45:56+00:00,cs.AI,http://arxiv.org/pdf/2409.18661v1,Not_the_Silver_Bullet_LLMenhanced_Programming_Error_Messages_are_Ineffective_in_Practice
When SAM2 Meets Video Camouflaged Object Segmentation: A Comprehensive Evaluation and Adaptation,"Yuli Zhou, Guolei Sun, Yawei Li, Luca Benini, Ender Konukoglu","This study investigates the application and performance of the Segment
Anything Model 2 (SAM2) in the challenging task of video camouflaged object
segmentation (VCOS). VCOS involves detecting objects that blend seamlessly in
the surroundings for videos, due to similar colors and textures, poor light
conditions, etc. Compared to the objects in normal scenes, camouflaged objects
are much more difficult to detect. SAM2, a video foundation model, has shown
potential in various tasks. But its effectiveness in dynamic camouflaged
scenarios remains under-explored. This study presents a comprehensive study on
SAM2's ability in VCOS. First, we assess SAM2's performance on camouflaged
video datasets using different models and prompts (click, box, and mask).
Second, we explore the integration of SAM2 with existing multimodal large
language models (MLLMs) and VCOS methods. Third, we specifically adapt SAM2 by
fine-tuning it on the video camouflaged dataset. Our comprehensive experiments
demonstrate that SAM2 has excellent zero-shot ability of detecting camouflaged
objects in videos. We also show that this ability could be further improved by
specifically adjusting SAM2's parameters for VCOS. The code will be available
at https://github.com/zhoustan/SAM2-VCOS",2024-09-27 11:35:50+00:00,cs.CV,http://arxiv.org/pdf/2409.18653v1,When_SAM2_Meets_Video_Camouflaged_Object_Segmentation_A_Comprehensive_Evaluation_and_Adaptation
Model-based Preference Optimization in Abstractive Summarization without Human Feedback,"Jaepill Choi, Kyubyung Chae, Jiwoo Song, Yohan Jo, Taesup Kim","In abstractive summarization, the challenge of producing concise and accurate
summaries arises from the vast amount of information contained in the source
document. Consequently, although Large Language Models (LLMs) can generate
fluent text, they often introduce inaccuracies by hallucinating content not
found in the original source. While supervised fine-tuning methods that
maximize likelihood contribute to this issue, they do not consistently enhance
the faithfulness of the summaries. Preference-based optimization methods, such
as Direct Preference Optimization (DPO), can further refine the model to align
with human preferences. However, these methods still heavily depend on costly
human feedback. In this work, we introduce a novel and straightforward approach
called Model-based Preference Optimization (MPO) to fine-tune LLMs for improved
summarization abilities without any human feedback. By leveraging the model's
inherent summarization capabilities, we create a preference dataset that is
fully generated by the model using different decoding strategies. Our
experiments on standard summarization datasets and various metrics demonstrate
that our proposed MPO significantly enhances the quality of generated summaries
without relying on human feedback.",2024-09-27 10:35:45+00:00,cs.CL,http://arxiv.org/pdf/2409.18618v1,Modelbased_Preference_Optimization_in_Abstractive_Summarization_without_Human_Feedback
Do LLMs suffer from Multi-Party Hangover? A Diagnostic Approach to Addressee Recognition and Response Selection in Conversations,"Nicolò Penzo, Maryam Sajedinia, Bruno Lepri, Sara Tonelli, Marco Guerini","Assessing the performance of systems to classify Multi-Party Conversations
(MPC) is challenging due to the interconnection between linguistic and
structural characteristics of conversations. Conventional evaluation methods
often overlook variances in model behavior across different levels of
structural complexity on interaction graphs. In this work, we propose a
methodological pipeline to investigate model performance across specific
structural attributes of conversations. As a proof of concept we focus on
Response Selection and Addressee Recognition tasks, to diagnose model
weaknesses. To this end, we extract representative diagnostic subdatasets with
a fixed number of users and a good structural variety from a large and open
corpus of online MPCs. We further frame our work in terms of data minimization,
avoiding the use of original usernames to preserve privacy, and propose
alternatives to using original text messages. Results show that response
selection relies more on the textual content of conversations, while addressee
recognition requires capturing their structural dimension. Using an LLM in a
zero-shot setting, we further highlight how sensitivity to prompt variations is
task-dependent.",2024-09-27 10:07:33+00:00,cs.CL,http://arxiv.org/pdf/2409.18602v1,Do_LLMs_suffer_from_MultiParty_Hangover_A_Diagnostic_Approach_to_Addressee_Recognition_and_Response_Selection_in_Conversations
ASAG2024: A Combined Benchmark for Short Answer Grading,"Gérôme Meyer, Philip Breuer, Jonathan Fürst","Open-ended questions test a more thorough understanding than closed-ended
questions and are often a preferred assessment method. However, open-ended
questions are tedious to grade and subject to personal bias. Therefore, there
have been efforts to speed up the grading process through automation. Short
Answer Grading (SAG) systems aim to automatically score students' answers.
Despite growth in SAG methods and capabilities, there exists no comprehensive
short-answer grading benchmark across different subjects, grading scales, and
distributions. Thus, it is hard to assess the capabilities of current automated
grading methods in terms of their generalizability. In this preliminary work,
we introduce the combined ASAG2024 benchmark to facilitate the comparison of
automated grading systems. Combining seven commonly used short-answer grading
datasets in a common structure and grading scale. For our benchmark, we
evaluate a set of recent SAG methods, revealing that while LLM-based approaches
reach new high scores, they still are far from reaching human performance. This
opens up avenues for future research on human-machine SAG systems.",2024-09-27 09:56:02+00:00,cs.AI,http://arxiv.org/pdf/2409.18596v1,ASAG2024_A_Combined_Benchmark_for_Short_Answer_Grading
"""Oh LLM, I'm Asking Thee, Please Give Me a Decision Tree"": Zero-Shot Decision Tree Induction and Embedding with Large Language Models","Ricardo Knauer, Mario Koddenbrock, Raphael Wallsberger, Nicholas M. Brisson, Georg N. Duda, Deborah Falla, David W. Evans, Erik Rodner","Large language models (LLMs) provide powerful means to leverage prior
knowledge for predictive modeling when data is limited. In this work, we
demonstrate how LLMs can use their compressed world knowledge to generate
intrinsically interpretable machine learning models, i.e., decision trees,
without any training data. We find that these zero-shot decision trees can
surpass data-driven trees on some small-sized tabular datasets and that
embeddings derived from these trees perform on par with data-driven tree-based
embeddings on average. Our knowledge-driven decision tree induction and
embedding approaches therefore serve as strong new baselines for data-driven
machine learning methods in the low-data regime.",2024-09-27 09:53:48+00:00,cs.AI,http://arxiv.org/pdf/2409.18594v1,Oh_LLM_Im_Asking_Thee_Please_Give_Me_a_Decision_Tree_ZeroShot_Decision_Tree_Induction_and_Embedding_with_Large_Language_Models
Hit the Sweet Spot! Span-Level Ensemble for Large Language Models,"Yangyifan Xu, Jianghao Chen, Junhong Wu, Jiajun Zhang","Ensembling various LLMs to unlock their complementary potential and leverage
their individual strengths is highly valuable. Previous studies typically focus
on two main paradigms: sample-level and token-level ensembles. Sample-level
ensemble methods either select or blend fully generated outputs, which hinders
dynamic correction and enhancement of outputs during the generation process. On
the other hand, token-level ensemble methods enable real-time correction
through fine-grained ensemble at each generation step. However, the information
carried by an individual token is quite limited, leading to suboptimal
decisions at each step. To address these issues, we propose SweetSpan, a
span-level ensemble method that effectively balances the need for real-time
adjustments and the information required for accurate ensemble decisions. Our
approach involves two key steps: First, we have each candidate model
independently generate candidate spans based on the shared prefix. Second, we
calculate perplexity scores to facilitate mutual evaluation among the candidate
models and achieve robust span selection by filtering out unfaithful scores. To
comprehensively evaluate ensemble methods, we propose a new challenging setting
(ensemble models with significant performance gaps) in addition to the standard
setting (ensemble the best-performing models) to assess the performance of
model ensembles in more realistic scenarios. Experimental results in both
standard and challenging settings across various language generation tasks
demonstrate the effectiveness, robustness, and versatility of our approach
compared with previous ensemble methods.",2024-09-27 09:41:29+00:00,cs.CL,http://arxiv.org/pdf/2409.18583v1,Hit_the_Sweet_Spot_SpanLevel_Ensemble_for_Large_Language_Models
Experimental Evaluation of Machine Learning Models for Goal-oriented Customer Service Chatbot with Pipeline Architecture,"Nurul Ain Nabilah Mohd Isa, Siti Nuraishah Agos Jawaddi, Azlan Ismail","Integrating machine learning (ML) into customer service chatbots enhances
their ability to understand and respond to user queries, ultimately improving
service performance. However, they may appear artificial to some users and
affecting customer experience. Hence, meticulous evaluation of ML models for
each pipeline component is crucial for optimizing performance, though
differences in functionalities can lead to unfair comparisons. In this paper,
we present a tailored experimental evaluation approach for goal-oriented
customer service chatbots with pipeline architecture, focusing on three key
components: Natural Language Understanding (NLU), dialogue management (DM), and
Natural Language Generation (NLG). Our methodology emphasizes individual
assessment to determine optimal ML models. Specifically, we focus on optimizing
hyperparameters and evaluating candidate models for NLU (utilizing BERT and
LSTM), DM (employing DQN and DDQN), and NLG (leveraging GPT-2 and DialoGPT).
The results show that for the NLU component, BERT excelled in intent detection
whereas LSTM was superior for slot filling. For the DM component, the DDQN
model outperformed DQN by achieving fewer turns, higher rewards, as well as
greater success rates. For NLG, the large language model GPT-2 surpassed
DialoGPT in BLEU, METEOR, and ROUGE metrics. These findings aim to provide a
benchmark for future research in developing and optimizing customer service
chatbots, offering valuable insights into model performance and optimal
hyperparameters.",2024-09-27 09:11:52+00:00,cs.AI,http://arxiv.org/pdf/2409.18568v1,Experimental_Evaluation_of_Machine_Learning_Models_for_Goaloriented_Customer_Service_Chatbot_with_Pipeline_Architecture
